stationReference,lat,long,easting,northing,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,latestReading,parameter,qualifier,unitName
F2902,54.462097,-0.654478,487316.0,508248.0,4.0,0.228,1.3,0.361,0.782,level,Stage,m
45118,50.80427,-3.511305,293602.0,101613.0,3.638,0.1,2.0,0.233,1.24,level,Stage,m
E4803,53.077892,-0.274288,515700.0,354800.0,2.7,0.0,2.24,0.121,0.715,level,Stage,mASD
3626TH,51.561936,-0.3793249999999999,512439.0,186029.0,1.431,-0.157,1.1,0.012,0.023,level,Stage,mASD
4139TH,51.371312,-0.1206879999999999,530910.0,165260.0,0.427,-0.246,0.32,0.0,0.042,level,Stage,mASD
0630TH,51.799654,-1.885239,408010.0,211230.0,0.42,-0.002,0.28,0.017,0.23,level,Stage,mASD
52121,50.947873,-2.503101,364753.0,116614.0,0.388,0.0,0.2,0.02,0.175,level,Stage,mASD
E10893,50.851113,-0.7645529999999999,487065.0,106460.0,0.922,0.0,0.613,0.001,0.469,level,Stage,mASD
E21732,52.171412,0.099158,543650.0,254650.0,1.63,0.06,0.645,0.479,0.495,level,Stage,mASD
0660TH,51.754535,-1.825522,412140.0,206220.0,0.524,0.035,0.4,0.081,0.328,level,Stage,mASD
L17022,53.827584,-1.570463,428370.0,436900.0,1.648,0.177,0.8,0.202,0.37,level,Stage,m
4650TH,51.830547,-0.347917,513940.0,215950.0,1.633,-0.083,1.3,0.6980000000000001,0.918,level,Stage,mASD
760115,54.579834,-2.491428,368333.0,520627.0,4.722,0.19,1.8,0.251,1.255,level,Stage,m
E12551,51.087739,-1.189248,456880.0,132360.0,0.716,0.083,0.5,0.126,0.306,level,Stage,mASD
43177,51.018287,-2.011504,399289.0,124324.0,1.141,0.0,0.611,0.0,0.478,level,Stage,m
4085,52.92726,-1.475443,435360.0,336780.0,3.349,0.49,2.0,0.583,1.209,level,Stage,mASD
E2862,52.890978,-0.62509,492600.0,333500.0,1.078,0.0,0.74,0.108,0.382,level,Stage,mASD
2032,52.049661,-2.200744,386330.0,239050.0,5.925,0.322,4.0,0.417,3.351,level,Stage,mASD
2626,52.248746,-1.994455,400475.0,261175.0,2.465,0.047,1.25,0.074,0.149,level,Stage,mASD
024004,54.6847,-1.818483,411800.0,532200.0,2.306,0.05,1.05,0.096,0.503,level,Stage,m
4832TH,51.861312,-0.11775,529711.0,219756.0,1.554,0.208,1.3,0.28,0.434,level,Stage,mASD
E1780,53.176218,-0.5711,495600.0,365300.0,2.431,0.0,2.11,0.159,0.583,level,Stage,mASD
47124,50.658035,-4.241876,241634.0,86661.0,2.284,0.045,2.0,0.113,0.64,level,Stage,m
L0601,53.425334,-1.36339,442400.0,392250.0,4.291,-0.08,2.0,0.073,0.635,level,Stage,m
E21324,52.314257,-0.444982,506100.0,269600.0,2.4130000000000003,0.05,0.7000000000000001,0.105,0.431,level,Stage,mASD
2255,52.08804,-2.446839,369480.0,243394.0,1.911,0.01,0.8,0.03,0.104,level,Stage,mASD
692727,53.439969,-2.388645,374280.0,393760.0,4.917,0.168,4.3,0.233,1.467,level,Stage,m
50143,50.977311,-4.178073,247190.0,122026.0,4.376,-0.08,3.2,0.009,2.1,level,Stage,m
53143,51.547559,-2.049871,396638.0,183187.0,2.43,0.0,0.7000000000000001,0.146,0.996,level,Stage,m
52159,51.073454,-2.964814,332501.0,130902.0,5.889,2.029,3.42,2.5,3.191,level,Stage,mAOD
5189TH,51.773908,0.073644,543166.0,210394.0,2.145,0.036,1.9,0.053,0.178,level,Stage,mASD
48183,50.196411,-5.136703,176228.0,37642.0,0.8310000000000001,0.015,0.49,0.044,0.342,level,Stage,m
46130,50.421783,-3.918076,263840.0,59750.0,2.369,0.15,1.5,0.235,0.686,level,Stage,m
49130,50.393206,-5.056217,182870.0,59280.0,1.586,0.025,0.746,0.044,0.302,level,Stage,m
4001,53.362304,-1.703631,419820.0,385090.0,2.8040000000000003,0.01,0.5,0.302,0.297,level,Stage,mASD
