stationReference,lat,long,easting,northing,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow
F1102,53.67527,-1.738074,417400.0,419900.0,2.352,0.011,1.0,0.219
E3003,52.720446,-0.3639449999999999,510600.0,314900.0,1.479,0.0,0.74,0.057
4011,53.124099,-1.557929,429680.0,358640.0,5.181,0.071,2.5,0.285
2420_w1TH,51.381826,-0.966655,472010.0,165260.0,1.36,0.016,0.75,0.157
45119,50.8432,-3.392156,302079.0,105777.0,3.725,0.02,1.6,0.249
50116,50.946265,-4.137186,249960.0,118490.0,5.7620000000000005,0.14,3.0,0.445
712170,53.854769,-2.158987,389639.0,439851.0,2.339,0.035,1.35,0.073
3369TH,51.375687,-0.264339,520900.0,165500.0,2.087,0.8320000000000001,3.0,0.892
E4976,53.125717,-0.052667,530400.0,360500.0,2.33,0.0,1.78,0.093
L2307,54.401122,-1.776606,414600.0,500653.0,4.191,-0.075,3.0,0.0
L2803,53.819066,-0.927565,470700.0,436400.0,6.371,1.569,5.3,1.979
2886TH,51.598796,-0.3768289999999999,512521.0,190132.0,0.977,0.058,0.94,0.175
E1656,53.005364,-0.022347,532798.0,347169.0,,,,
023058,54.918811,-2.328264,379056.0,558286.0,2.118,0.028,0.533,0.087
L1721,53.740078,-1.366226,441900.0,427265.0,2.94,-0.079,0.3,-0.005
3880TH,51.508638,-0.3425689999999999,515121.0,180159.0,2.725,0.771,3.489,0.842
737536,54.307391,-3.091306,329090.0,490750.0,3.035,0.246,1.382,0.429
4086,52.573856,-1.13453,458750.0,297690.0,2.761,0.524,1.607,0.6000000000000001
024005,54.742586,-1.59921,425900.0,538700.0,2.094,0.027,1.4,0.083
E1521,52.227978,-0.934098,472900.0,259400.0,1.329,0.0,0.949,0.46
47125,50.34269,-4.005399,257400.0,51120.0,2.32,0.026,1.361,0.212
694460,53.384181,-2.825909,345162.0,387801.0,2.555,0.103,2.7,0.219
4049,53.309224,-1.138194,457520.0,379490.0,2.189,0.09,1.05,0.149
E26141,52.145941,-0.521734,501250.0,250770.0,30.96,28.913,29.515,28.979
E21325,52.147499,-0.708027,488500.0,250700.0,1.169,0.015,0.372,0.075
L3602,54.512373,-1.355879,441800.0,513200.0,4.073,0.145,1.8,0.45
712221,53.794282,-2.306373,379915.0,433153.0,1.561,0.12,1.26,0.164
L2024,53.874564,-1.253163,449200.0,442300.0,12.84,3.215,7.296,3.436
5171TH,51.795404,0.134177,547272.0,212905.0,2.948,0.784,2.015,-0.014
5141TH,51.878177,0.160906,548842.0,222164.0,1.8,-0.002,1.15,0.059
2601TH,51.560993,-0.694635,490585.0,185487.0,1.464,-0.239,0.6000000000000001,0.0
L3491,53.727084,-0.585836,493400.0,426561.0,6.07,,,
1303TH,51.74909,-1.272781,450300.0,205850.0,0.341,-0.312,0.12,-0.15
4389TH,51.45563,0.00613,539480.0,174870.0,1.078,0.013,1.0,0.028
2469_w2TH,51.377564,-0.952526,473000.0,164800.0,1.687,0.126,0.728,0.189
023011,55.245179,-2.561466,364400.0,594700.0,2.35,0.122,1.6,0.153
E5320,53.144479,0.086945,539680.0,362850.0,2.75,0.0,2.07,0.129
48184,50.336116,-4.633573,212681.0,51783.0,3.146,,,
E13810,51.166603,-1.441818,439124.0,140966.0,0.621,0.232,0.5,0.3
2293TH,51.385195,-1.002649,469500.0,165600.0,2.244,0.5640000000000001,2.0,0.619
E14521,50.763011,-1.536709,432771.0,96038.0,2.203,,,
E21042,52.131783,-0.962049,471144.0,248673.0,2.059,0.064,0.582,0.109
49131,50.640424,-4.675182,210940.0,85720.0,1.776,0.303,1.0,0.343
E4832,52.229209,-1.080484,462900.0,259400.0,1.54,-0.04,1.35,0.0
F2807,54.019124,-0.8857959999999999,473100.0,458700.0,2.568,0.107,1.2,0.277
E23527,52.399868,0.289328,555850.0,280450.0,1.3900000000000001,0.003,0.9,0.432
733548,54.03204,-2.9203349999999997,339815.0,459955.0,,,,
1285SO,51.085655,1.177662,622643.0,136619.0,0.767,0.076,1.206,0.082
4761,52.635449,-1.104604,460693.0,304566.0,,,,
E2085,52.808232,0.21057299999999998,549100.0,325700.0,6.032,,,
45124,51.132851,-3.640854,285287.0,138345.0,2.028,0.19,1.2,0.28200000000000003
50128,51.021223,-4.203174,245574.0,126961.0,,,,
2667,51.834606,-2.193371,386772.0,215129.0,1.55,0.183,1.5,0.216
762510,54.904086,-2.817354,347687.0,556904.0,1.255,0.081,0.5,0.1
E24795,52.232016,1.183613,617500.0,264090.0,1.532,-0.091,1.46,0.08
2048,52.197687,-1.602579,427260.0,255570.0,2.228,0.05,0.362,0.091
L1711,53.738253,-1.290587,446891.0,427109.0,3.92,0.15,2.05,0.295
E2590,52.691674,-0.398018,508370.0,311648.0,,,,
2512,51.857643,-2.180344,387676.0,217689.0,1.607,0.063,2.0,0.074
E5462,51.068245,0.919373,604634.0,133934.0,,,,
4040,53.017569,-2.162134,389220.0,346710.0,2.511,0.03,0.388,0.067
E22088,52.073044,-0.805148,481991.0,242305.0,2.956,0.024,1.432,0.132
2004,52.354922,-1.5146169999999999,433155.0,273096.0,,,,
2644,51.888033,-2.253216,382669.0,221084.0,3.927,-0.031,1.5,0.1
2594SO,51.219853,0.441914,570627.0,149573.0,,,,
48185,50.081307,-5.125068,176522.0,24812.0,1.305,0.05,1.0,0.034
48124,50.13744,-5.406959,156644.0,31934.0,1.529,0.044,0.75,0.085
E1030,53.102208,0.317091,555223.0,358622.0,,,,
E4409,52.664667,-0.228133,519925.0,308913.0,,,,
2277,51.848593,-2.220433,384912.0,216690.0,1.072,-0.009000000000000001,1.5,0.012
E4982,53.229577,-0.129265,524973.0,371916.0,,,,
713119,53.744388,-2.490462,367750.0,427670.0,2.815,0.0,2.565,0.09
