stationReference,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,dryvalue,dryvaluemax,dryvaluemin,wetvalue,wetvaluemax,wetvaluemin,qualifier,parameter
2421TH,RIVER LODDON AT SHEEPBRIDGE FLUME,51.38187,-0.966582,,,,,0.15434375,0.166,0.139,0.208,0.208,0.208,['Stage'],['levelASD']
2423TH,Cove Hazel Avenue,51.291321,-0.774462,1.65,0.14,1.83,0.18,0.7736354166666675,0.777,0.77,0.23,0.23,0.23,['Stage'],['levelASD']
2425,Bodiam Avenue Relief Channel,51.832287,-2.270144,2.482,-0.157,1.5,-0.001,0.6197499999999999,0.7,0.566,0.36,0.36,0.36,['Stage'],['levelASD']
2427TH,Farnborough,51.29741,-0.739058,1.939,0.268,1.6,0.363,0.8513541666666667,0.884,0.823,0.879,0.879,0.879,['Stage'],['levelASD']
2431TH,Blackwater Bridge,51.330889,-0.775604,2.62,0.765,2.0,1.046,1.3520624999999995,1.373,1.332,1.341,1.341,1.341,['Stage'],['levelASD']
2432TH,Mayfield Road,51.306404,-0.772253,2.5700000000000003,0.483,2.0,0.795,0.9808749999999993,0.993,0.968,0.948,0.948,0.948,['Stage'],['levelASD']
2435TH,Eversley,51.356292,-0.888384,1.7000000000000002,0.5,1.4,0.601,0.6451458333333334,0.663,0.623,0.667,0.667,0.667,['Stage'],['levelASD']
2442TH,Lodge Farm,51.263973,-0.950093,0.623,0.02,0.439,0.097,0.15185416666666662,0.162,0.147,0.273,0.273,0.273,['Stage'],['levelASD']
2451TH,Crondall Pond,51.232867,-0.864146,1.19,-0.4,0.8,-0.35,0.08854166666666662,0.1,0.08,0.42,0.42,0.42,['Stage'],['levelASD']
2453TH,Redlands Lane,51.237321,-0.859739,1.63,0.51,1.1,0.6000000000000001,0.7601354166666674,0.766,0.754,0.794,0.794,0.794,['Stage'],['levelASD']
2455TH,Crookham Village,51.262934,-0.867562,1.4,0.343,1.36,0.358,0.4408541666666666,0.443,0.44,0.492,0.492,0.492,['Stage'],['levelASD']
2458TH,Bramshill,51.32671,-0.917374,1.81,0.054,1.325,0.095,0.20694791666666668,0.232,0.177,0.234,0.234,0.234,['Stage'],['levelASD']
2469_w1TH,Swallowfield,51.377564,-0.952526,1.481,0.064,0.95,0.189,0.2808541666666666,0.299,0.267,0.295,0.295,0.295,['Stage'],['levelASD']
2469_w2TH,Swallowfield Side Channel,51.377564,-0.952526,1.687,0.126,0.728,0.189,0.2880520833333334,0.317,0.261,0.302,0.302,0.302,['Stage'],['levelASD']
2473TH,Arborfield Bridge,51.403467,-0.933245,1.392,0.102,1.192,0.278,0.25778125,0.287,0.225,0.282,0.282,0.282,['Stage'],['levelASD']
2481TH,Sindlesham Mill,51.426522,-0.898188,1.454,0.052,0.56,1.19,0.20510416666666678,0.217,0.189,0.228,0.228,0.228,['Stage'],['levelASD']
2486TH,Wokingham,51.40345,-0.836924,2.329,0.368,1.2,0.395,0.4395625,0.446,0.433,0.463,0.463,0.463,['Stage'],['levelASD']
2490TH,Twyford,51.484806,-0.880942,3.43,0.233,2.255,0.504,1.2173020833333328,1.227,1.205,1.186,1.186,1.186,['Stage'],['levelASD']
2495TH,Marsh Lock,51.528776,-0.885703,1.633,-0.45,0.4,0.111,0.14364583333333328,0.165,0.119,0.16,0.16,0.16,['Stage'],['levelASD']
2497TH,Hurley Lock,51.55135,-0.808421,0.516,-0.076,0.2,0.023,0.1103958333333334,0.128,0.073,0.075,0.075,0.075,['Stage'],['levelASD']
2499TH,Marlow Lock,51.567382,-0.769176,1.239,-0.022,0.449,0.06,0.09443750000000008,0.107,0.085,0.1,0.1,0.1,['Stage'],['levelASD']
2511,Windyridge Road,51.91699,-2.086745,1.461,0.17,0.618,0.22,0.5530729166666669,0.591,0.536,0.492,0.492,0.492,['Stage'],['levelASD']
2512,Hucclecote,51.857643,-2.180344,1.607,0.063,2.0,0.074,0.0,0.0,0.0,0.11,0.11,0.11,['Stage'],['levelASD']
2513,Eastington,51.753386,-2.322244,2.211,0.198,0.857,0.287,0.35604166666666637,0.397,0.329,0.41,0.41,0.41,['Stage'],['levelASD']
2514,Cam,51.699985,-2.360238,2.651,0.54,0.87,0.578,0.901093750000001,0.902,0.899,0.866,0.866,0.866,['Stage'],['levelASD']
2515,Stoke Prior,52.306762,-2.076947,2.143,0.064,0.362,0.127,0.14829166666666668,0.185,0.115,0.164,0.164,0.164,['Stage'],['levelASD']
2516,Halesowen,52.462884,-2.061427,2.718,0.451,0.786,0.454,0.5533229166666664,0.556,0.55,0.588,0.588,0.588,['Stage'],['levelASD']
2531,Leominster Osbourne Place LVL,52.231172,-2.743719,,,,,0.5634166666666666,0.572,0.557,,,,[],[]
2532,Leominster Upper Marsh LVL,52.233318,-2.73409,,,,,0.49989583333333326,0.506,0.493,,,,[],[]
2546TH,High Wycombe FD,51.627385,-0.748786,,,,,1.2297291666666663,1.238,1.222,1.266,1.266,1.266,['Stage'],['levelASD']
2548,Orleton Millbrook Way,52.300223,-2.751592,,,,,0.0964479166666668,0.099,0.093,,,,[],[]
2549,Slad Steanbridge Lane,51.767788,-2.179956,,,,,0.14503125000000008,0.149,0.142,,,,[],[]
2550TH,Wycombe Wye,51.635466,-0.76901,0.609,-0.137,1.0,0.0,0.16991666666666674,0.172,0.168,0.288,0.288,0.288,['Stage'],['levelASD']
2569TH,Wycombe Hugh,51.635574,-0.753691,0.65,-0.375,0.255,-0.23,0.0864375000000001,0.088,0.085,0.164,0.164,0.164,['Stage'],['levelASD']
2590TH,Bourne End Wye,51.571155,-0.708557,0.47,0.06,0.38,0.114,0.19045833333333329,0.191,0.188,0.213,0.213,0.213,['Stage'],['levelASD']
2601TH,Cookham Lock,51.560993,-0.694635,1.464,-0.239,0.6000000000000001,0.0,0.0952291666666667,0.186,0.047,0.044,0.044,0.044,['Stage'],['levelASD']
2602TH,Boulters Lock,51.532713,-0.699466,1.134,-0.217,0.3,0.0,0.18940624999999997,0.3,0.153,0.16,0.16,0.16,['Stage'],['levelASD']
2603,Cambridge,51.730432,-2.362218,1.375,0.032,1.25,0.141,0.19100000000000025,0.195,0.187,0.201,0.201,0.201,['Stage'],['levelASD']
2603TH,Taplow,51.529307,-0.697199,1.806,-0.026,3.21,1.0,1.6343020833333346,1.64,1.629,1.583,1.583,1.583,['Stage'],['levelASD']
2604TH,Maidenhead,51.524146,-0.702103,3.866,1.127,3.55,2.27,2.2726875000000013,2.283,2.264,2.305,2.305,2.305,['Stage'],['levelASD']
2606,Deerhurst,51.969234,-2.193572,6.382,0.364,4.492,0.502,1.2527604166666664,2.021,0.971,1.402,1.402,1.402,['Stage'],['levelASD']
2607,Bromsberrow LVL,51.996906,-2.373352,,,,,0.07767708333333333,0.084,0.068,0.105,0.105,0.105,['Stage'],['levelASD']
2607TH,Bray Lock,51.509305,-0.69032,1.608,-0.119,0.5,0.096,0.24564583333333326,0.289,0.22,0.158,0.158,0.158,['Stage'],['levelASD']
2608,Boreton Bridge LVL,52.65661,-2.716578,,,,,0.16235416666666674,0.167,0.154,0.208,0.208,0.208,['Stage'],['levelASD']
2609,Kites Hardwick,52.313513,-1.314911,2.512,-0.137,1.138,0.01,0.12019791666666668,0.126,0.117,0.208,0.208,0.208,['Stage'],['levelASD']
2611,Stanford River LVL,52.417555,-1.126182,,,,,0.8416041666666674,0.843,0.839,0.844,0.844,0.844,['Stage'],['levelASD']
2613,Southam,52.260974,-1.408027,3.328,0.045,0.682,0.085,0.14023958333333317,0.143,0.138,0.182,0.182,0.182,['Stage'],['levelASD']
2613TH,Warfield,51.436318,-0.747222,2.962,1.67,2.9,1.719,1.7799166666666666,1.802,1.75,1.884,1.884,1.884,['Stage'],['levelASD']
2615,Bidford on Avon,52.164097,-1.857348,4.426,0.895,2.6,0.955,1.3695208333333333,1.4,1.344,1.406,1.406,1.406,['Stage'],['levelASD']
2616,Kempsey Yacht Club,52.158602,-2.219449,7.489,0.475,5.0,0.512,0.8113437500000007,0.891,0.748,1.092,1.092,1.092,['Stage'],['levelASD']
2617,Chalford,51.723887,-2.130978,0.76,0.021,0.5,0.033,0.05123958333333331,0.052,0.051,0.081,0.081,0.081,['Stage'],['levelASD']
2618,Sandhurst,51.887415,-2.252167,5.376,0.34,3.0,0.515,0.9824375000000005,2.033,0.777,1.024,1.024,1.024,['Stage'],['levelASD']
2619,Sandhurst,51.887632,-2.251427,5.35,0.47,2.79,0.5700000000000001,0.9823749999999997,1.233,0.827,1.029,1.029,1.029,['Stage'],['levelASD']
2620TH,Binfield,51.433827,-0.773574,1.018,-0.088,0.8150000000000001,0.125,0.18003125,0.192,0.162,0.196,0.196,0.196,['Stage'],['levelASD']
2621,Henley River,52.29694,-1.777373,2.426,0.369,0.546,0.387,0.4122812499999995,0.415,0.41,0.45,0.45,0.45,['Stage'],['levelASD']
2625,Ludlow Teme,52.36409,-2.706474,5.223,0.834,3.0,0.856,1.0639791666666671,1.078,1.053,1.089,1.089,1.089,['Stage'],['levelASD']
2626,Feckenham,52.248746,-1.994455,2.465,0.047,1.25,0.074,0.0694375,0.075,0.066,0.103,0.103,0.103,['Stage'],['levelASD']
2627,Kenilworth,52.352672,-1.567041,2.384,0.627,1.44,0.655,0.6900416666666667,0.695,0.683,0.692,0.692,0.692,['Stage'],['levelASD']
2629,Lydney,51.72971,-2.534804,1.343,0.101,0.7000000000000001,0.131,0.21195833333333336,0.218,0.206,0.25,0.25,0.25,['Stage'],['levelASD']
2634,Burford Bridge,52.311774,-2.625404,4.775,0.52,1.5,0.531,0.5755520833333329,0.582,0.562,0.561,0.561,0.561,['Stage'],['levelASD']
2635,Cox's Meadow Storage Area,51.890714,-2.066105,4.4,0.0,0.2,0.0,-0.00551041666666667,-0.004,-0.01,0.075,0.075,0.075,['Stage'],['levelASD']
2636,Mor Brook LVL,52.509532,-2.429445,,,,,0.011968750000000002,0.015,0.009,0.147,0.147,0.147,['Stage'],['levelASD']
