stationReference,lat,long,easting,northing,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,latestReading,parameter,qualifier,unitName
077836,53.657107,-1.925056,405050.0,417850.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E11470,50.852298,-0.990615,471150.0,106350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
078530,53.592394,-1.929702,404750.0,410650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E21018,51.587908,0.506691,573750.0,190650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
000008,53.480556,-1.441674,437150.0,398350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
48180,50.382625,-4.896844,194150.0,57650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
570099,53.511139,-2.721493,352250.0,401850.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E5640,51.05909,0.821971,597850.0,132650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3580,53.047163,-1.641206,424150.0,350050.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E24863,51.857943,0.698866,585950.0,221150.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E27594,52.735167,-0.4219,506650.0,316450.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
254829TP,51.938474,-1.5730149999999998,429450.0,226750.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
50112,51.219415,-3.751859,277750.0,148150.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
564595,53.240041,-2.077118,394950.0,371450.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
049902,54.130296,-1.656404,422550.0,470550.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E1290,51.236919,-0.046806,536450.0,150450.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E4510,51.105558,0.979102,608650.0,138250.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3570,53.029694,-1.914215,405850.0,348050.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
005782,55.154354,-1.944254,403650.0,584450.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
1792,52.307409,-2.728158,350450.0,267950.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E41311,51.520749,0.6168859999999999,581650.0,183450.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
920359,55.553328,-1.997587,400250.0,628850.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E14893,50.754772,-1.304596,449150.0,95250.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E27601,51.530977,0.5194219999999999,574850.0,184350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E4520,51.225958,0.726173,590450.0,150950.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
49151,50.480775,-4.463019,225350.0,67450.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E2331,52.473204,-0.862668,477350.0,286750.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
083534,53.250698,-1.498624,433550.0,372750.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
1119,52.031946,-2.435056,370250.0,237150.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3996,52.897989,-0.911045,473350.0,333950.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
030377,54.526112,-1.506309,432050.0,514650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
47157,50.431628,-4.270363,238850.0,61550.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3179,52.69041,-0.920654,473050.0,310850.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
559586,53.534889,-2.012778,399250.0,404250.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
238777TP,51.736595,0.2237819999999999,553650.0,206550.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
037973,54.297778,-1.167931,454250.0,489450.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E25041,52.786909,-0.264322,517150.0,322450.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
248965TP,51.792696,-2.00792,399550.0,210450.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E9360,50.929113,-0.3841839999999999,513650.0,115650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3860,53.407215,-1.191422,453850.0,390350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E9350,50.999283,-0.1437409999999999,530350.0,123850.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E7135,53.572235,-0.2368539999999999,516850.0,409850.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E11820,50.828711,-1.195588,456750.0,103550.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E2420,51.130083,0.7491089999999999,592450.0,140350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
062046,54.071438,-1.913617,405750.0,463950.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
44215,50.743404,-2.638425,355050.0,93950.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E24947,52.165978,0.556609,574950.0,255050.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E24925,51.644031,0.4895489999999999,572350.0,196850.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E9290,51.04624,-0.400084,512250.0,128650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3057,52.730505,-1.571247,429050.0,314850.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E23633,51.996269,-0.2426269999999999,520750.0,234550.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
1082,52.186855,-1.418519,439850.0,254450.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
1413,52.325619,-2.226643,384650.0,269750.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
531172,51.277706,-2.608531,357650.0,153350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E2416,52.808243,-0.129942,526150.0,325050.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E24957,52.101218,0.906298,599150.0,248750.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E24790,52.409069,1.30592,624950.0,284150.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E7165,52.766451,-0.6238279999999999,492950.0,319650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
53115,51.210084,-2.450167,368650.0,145750.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
259110TP,51.886777,-1.156503,458150.0,221250.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
48182,50.249425,-5.040268,183350.0,43250.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E15500,51.435174,0.135731,548550.0,172850.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
570231,53.596101,-2.789423,347850.0,411350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
1760,52.140634,-1.974376,401850.0,249150.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
1121,52.718322,-2.717219,351650.0,313650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E7420,50.788104,0.060701,545350.0,100750.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
261021TP,51.653876,-1.288038,449350.0,195250.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
003232,55.312483,-1.909373,405850.0,602050.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
1770,52.288216,-1.222206,453150.0,265850.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
602253,54.779014,-2.608625,360950.0,542850.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E2510,52.535424,-0.981957,469150.0,293550.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
288504TP,51.349274,0.009666,540050.0,163050.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3774,53.579885,-0.8694339999999999,474950.0,409850.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
269627TP,51.345161,-1.239706,453050.0,160950.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
596791,54.843273,-3.064299,331750.0,550350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
490001TP,51.903913,0.021245,539150.0,224750.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
564160,53.381621,-2.570469,362150.0,387350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
569848,53.58714,-2.633659,358150.0,410250.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E5451,51.007531,0.978517,609050.0,127350.0,,,,,0.2,rainfall,Tipping Bucket Raingauge,mm
