stationReference,latestReading,parameter,qualifier,unitName
E11040,0.0,rainfall,Tipping Bucket Raingauge,mm
E14910,0.0,rainfall,Tipping Bucket Raingauge,mm
E12580,0.0,rainfall,Tipping Bucket Raingauge,mm
000102TP,,rainfall,Tipping Bucket Raingauge,mm
041917,0.0,rainfall,Tipping Bucket Raingauge,mm
3616,0.0,rainfall,Tipping Bucket Raingauge,mm
52222,0.0,rainfall,Tipping Bucket Raingauge,mm
056505,0.0,rainfall,Tipping Bucket Raingauge,mm
240350TP,0.0,rainfall,Tipping Bucket Raingauge,mm
278744TP,0.0,rainfall,Tipping Bucket Raingauge,mm
E2463,0.0,rainfall,Tipping Bucket Raingauge,mm
E5727,0.0,rainfall,Tipping Bucket Raingauge,mm
601304,0.2,rainfall,Tipping Bucket Raingauge,mm
E22231,,rainfall,Tipping Bucket Raingauge,mm
026958,0.0,rainfall,Tipping Bucket Raingauge,mm
E24879,0.0,rainfall,Tipping Bucket Raingauge,mm
240201TP,0.0,rainfall,Tipping Bucket Raingauge,mm
47163,0.0,rainfall,Tipping Bucket Raingauge,mm
1165,0.0,rainfall,Tipping Bucket Raingauge,mm
1155,0.0,rainfall,Tipping Bucket Raingauge,mm
49106,,rainfall,Tipping Bucket Raingauge,mm
280826TP,0.0,rainfall,Tipping Bucket Raingauge,mm
561299,0.0,rainfall,Tipping Bucket Raingauge,mm
560943,0.0,rainfall,Tipping Bucket Raingauge,mm
E37081,0.0,rainfall,Tipping Bucket Raingauge,mm
45102,0.0,rainfall,Tipping Bucket Raingauge,mm
023164,0.0,rainfall,Tipping Bucket Raingauge,mm
49105,0.0,rainfall,Tipping Bucket Raingauge,mm
016140,0.0,rainfall,Tipping Bucket Raingauge,mm
E25051,0.0,rainfall,Tipping Bucket Raingauge,mm
287864TP,0.0,rainfall,Tipping Bucket Raingauge,mm
45158,0.0,rainfall,Tipping Bucket Raingauge,mm
E802,0.0,rainfall,Tipping Bucket Raingauge,mm
E24901,0.0,rainfall,Tipping Bucket Raingauge,mm
025394,0.0,rainfall,Tipping Bucket Raingauge,mm
603111,0.2,rainfall,Tipping Bucket Raingauge,mm
592848,,rainfall,Tipping Bucket Raingauge,mm
E8530,0.0,rainfall,Tipping Bucket Raingauge,mm
E42961,0.0,rainfall,Tipping Bucket Raingauge,mm
47166,0.0,rainfall,Tipping Bucket Raingauge,mm
264254TP,0.0,rainfall,Tipping Bucket Raingauge,mm
