stationReference,lat,long,easting,northing,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow
4036,53.26962,-0.952008,469990.0,375250.0,2.815,0.294,1.42,0.162
46128,50.393426,-3.73051,277090.0,56270.0,2.07,0.0,1.0,0.023
4827TH,51.874477,-0.149495,527488.0,221164.0,1.009,0.033,0.8,0.053
055003_TG 316,52.061919,-2.659977,354850.0,240600.0,2.999,0.0,2.4,0.153
L2011,53.851542,-1.15762,455512.0,439809.0,8.082,1.54,5.71,2.0
L08015,53.536358,-1.366253,442100.0,404600.0,4.413,0.235,2.49,0.331
2206,51.746918,-2.217953,385049.0,205381.0,1.107,0.16,0.35,0.21
4161,52.574167,-1.035067,465490.0,297810.0,3.14,0.76,2.8,0.77
693426,53.289231,-2.148611,390190.0,376930.0,2.213,0.182,1.18,0.247
E72639,51.49999,-2.728468,349530.0,178147.0,8.626,,,
E72624,51.5,-2.72847,349530.0,178148.0,,,,
730506,54.330571,-2.742287,351826.0,493034.0,3.86,1.115,2.0,1.032
53131,51.426965,-2.459703,368135.0,169874.0,1.5,0.04,0.399,0.108
43216,50.805852,-1.990007,400800.0,100700.0,1.042,0.037,0.546,0.092
45171,50.580497,-3.472207,295862.0,76675.0,1.315,0.113,0.68,0.123
4124,52.877141,-1.759128,416308.0,331103.0,3.545,0.298,1.5550000000000002,0.384
E2901,53.022669,-0.746145,484200.0,348000.0,0.868,0.0,0.6900000000000001,0.11
2095,52.247533,-1.793996,414161.0,261060.0,3.375,0.856,1.329,0.897
022014,55.344803,-2.122952,392300.0,605650.0,2.763,0.09,1.6,0.223
E21127,52.908305,0.504442,568517.0,337479.0,0.298,0.037,0.133,0.02
45134,50.782406,-3.496159,294620.0,99160.0,1.71,0.1,1.2,0.239
L1115,53.60958,-1.705229,419600.0,412600.0,1.47,-0.036,1.0,0.012
E2790,53.550068,-0.501979,499347.0,406982.0,2.61,0.0,2.37,0.482
L3404,53.77033,-0.7077859999999999,485267.0,431219.0,1.872,,,
L2322,54.336432,-1.450586,435821.0,493571.0,1.601,-0.006,1.45,0.029
2241TH,51.412847,-1.526019,433060.0,168310.0,1.078,0.031,0.6000000000000001,0.043
760502,54.648336,-2.614388,360452.0,528312.0,4.527,0.11,3.0,0.2
E12442,50.990287,-1.335564,446730.0,121420.0,0.993,0.0,0.75,0.259
5380TH,51.574894,-0.0436369999999999,535668.0,188039.0,2.199,-0.192,1.35,0.014
765045,54.885739,-2.937513,339955.0,554959.0,4.564,-0.11,2.2,0.013
L2545,54.262449,-0.8592869999999999,474400.0,485800.0,2.595,-0.038,1.3,0.102
F0815,53.526193,-1.473913,434973.0,403411.0,2.188,0.023,1.2,0.08
740101,54.341859,-3.218047,320910.0,494720.0,2.072,0.04,1.5,0.244
E4411,52.998853,-0.408576,506900.0,345800.0,0.581,0.0,0.5,0.244
531109,51.45411,-2.586653,359333.0,172956.0,6.538,6.066,6.7,6.1
L1203,53.697959,-1.873488,408450.0,422400.0,5.339,-0.008,3.8,1.6800000000000002
2870TH,51.56631,-0.483905,505180.0,186360.0,0.608,0.052,0.56,0.11
4435,52.948176,-1.183337,454970.0,339290.0,1.616,0.016,1.0,0.08
2642,52.206967,-2.235272,384019.0,256554.0,5.791,0.487,3.35,0.548
023036,54.904713,-2.265082,383100.0,556700.0,1.953,0.134,1.8,0.157
47140,50.697595,-4.509797,222848.0,91667.0,,,,
4064,53.498488,-0.664311,488700.0,401030.0,2.8200000000000003,0.082,1.75,0.094
761659,54.651055,-2.743236,352141.0,528695.0,3.379,0.26,1.7000000000000002,0.35
2011,52.255374,-2.193909,386860.0,261930.0,2.834,0.016,2.0,0.189
735225,54.352722,-2.940028,339000.0,495652.0,2.904,0.066,1.0,0.228
F2102,53.998678,-1.266199,448200.0,456100.0,5.345,0.081,4.0,0.218
720517,53.863761,-2.817872,346310.0,441150.0,5.013,0.061,4.725,0.4
5376TH,51.619051,0.008836,539169.0,193048.0,1.477,0.142,1.2,0.151
E21563,52.735281,1.480458,635066.0,320977.0,0.8230000000000001,0.042,0.75,0.25
684027,53.234132,-2.827991,344830.0,371110.0,2.573,0.11,1.6,0.196
46119,50.31395,-3.800717,271886.0,47552.0,3.055,0.17,1.8,0.246
E8210,51.002867,-0.027718,538480.0,124460.0,2.625,0.0,2.0,0.01
L0307,53.326718,-1.328824,444800.0,381300.0,4.355,-0.236,1.6800000000000002,0.0
2896TH,51.43615,-0.514892,503326.0,171841.0,0.847,0.014,0.84,0.059
E60601,52.129553,-0.753104,485450.0,248650.0,2.775,0.002,1.865,1.125
53122,51.31742,-2.206553,385701.0,157611.0,2.097,0.07,1.4,0.172
3015TH,51.140148,-0.959908,472860.0,138390.0,1.343,-0.306,0.52,0.0
E2062,52.401841,-0.5448000000000001,499100.0,279200.0,3.24,0.469,1.845,0.675
E4351,51.105167,0.948046,606478.0,138119.0,4.891,0.0,4.38,0.008
1681TH,51.683092,-1.268125,450695.0,198513.0,1.623,0.0,1.5,0.45
43207,51.049578,-2.276018,380748.0,127840.0,1.833,0.025,0.75,0.099
4115,53.166753,-1.164236,455970.0,363620.0,1.634,0.186,1.0,0.246
45162,50.752006,-3.454461,297493.0,95721.0,2.175,0.086,1.3,0.099
2086,52.177055,-2.28833,380380.0,253240.0,6.086,0.304,4.4,0.363
E2285,52.240918,-1.083171,462700.0,260700.0,1.72,0.0,1.25,0.025
E12470,51.0582,-1.308338,448570.0,128990.0,1.148,0.002,0.81,0.319
48125,50.156881,-5.432918,154889.0,34180.0,1.295,0.141,0.8,0.237
L2313,54.235258,-1.341973,442988.0,482374.0,2.32,0.128,1.8,0.174
L2907,54.466168,-0.944968,468480.0,508380.0,3.611,0.0,2.4,0.01
